index,search_song_x,search_artist_x,search_term,matched_song,matched_artist,collection,preview_url,apple_release_date,apple_track_time_ms,apple_duration_sec,apple_genre,apple_collection,apple_track_id_x,apple_artist_id,match_score,title_score,artist_score,version_penalty,match_status,failure_reason,artist_overlap,usable_match,usable_match_v2,recovery_reason,search_song_y,search_artist_y,apple_track_id_y,preview_file,download_status
0,"""1 Step Forward, 3 Steps Back""",Olivia Rodrigo,1 step forward 3 steps back olivia rodrigo,"1 step forward, 3 steps back",Olivia Rodrigo,SOUR,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/aa/70/f2/aa70f2bf-adc0-b6ad-d604-adfbcef5fba9/mzaf_12249777138695508371.plus.aac.p.m4a,2021-05-21T12:00:00Z,163593.0,163.593,Pop,SOUR,1560735846.0,979458609.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""1 Step Forward, 3 Steps Back""",Olivia Rodrigo,1560735846.0,preview_clips/olivia_rodrigo__1_step_forward_3_steps_back__1560735846.0.m4a,already_exists
1,"""1, 2 Step""",Ciara Featuring Missy Elliott,1 2 step ciara,"1, 2 Step (feat. Missy Elliott) [Mixed]",Ciara,Fool's Gold Radio: Miles Medina (DJ Mix),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/7c/68/90/7c689016-4a7f-911a-17ac-f343a8d7915d/mzaf_14145981062291972862.plus.aac.p.m4a,2023-03-10T12:00:00Z,84901.0,84.901,Hip-Hop/Rap,Fool's Gold Radio: Miles Medina (DJ Mix),1674065022.0,14317116.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""1, 2 Step""",Ciara Featuring Missy Elliott,1674065022.0,preview_clips/ciara_featuring_missy_elliott__1_2_step__1674065022.0.m4a,already_exists
2,"""1, 2, 3, 4""",Plain White T's,1 2 3 4 plain white ts,"1, 2, 3, 4",Plain White T's,Valentine's Day 2022,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/94/f4/09/94f4099b-db65-5421-454b-79851889968f/mzaf_11521262395858539712.plus.aac.p.m4a,2008-09-23T12:00:00Z,198360.0,198.36,Rock,Valentine's Day 2022,1605885112.0,16252710.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""1, 2, 3, 4""",Plain White T's,1605885112.0,preview_clips/plain_white_t_s__1_2_3_4__1605885112.0.m4a,already_exists
3,"""10,000 Hours""",Dan + Shay & Justin Bieber,10 000 hours dan shay,"10,000 Hours",Dan + Shay & Justin Bieber,Good Things,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/25/c5/17/25c51736-ef24-5658-e046-d652a65c367e/mzaf_15864351614809114943.plus.aac.p.m4a,2019-10-04T07:00:00Z,167773.0,167.773,Country,Good Things,1576237877.0,690319057.0,0.8600000000000001,1.0,0.5333333333333333,0.0,REVIEW,SUCCESS,1.0,True,True,,"""10,000 Hours""",Dan + Shay & Justin Bieber,1576237877.0,preview_clips/dan_shay_justin_bieber__10_000_hours__1576237877.0.m4a,already_exists
4,"""Awful, Beautiful Life""",Darryl Worley,awful beautiful life darryl worley,Awful Beautiful Life,Darryl Worley,Darryl Worley,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e4/4a/b1/e44ab15a-ab77-e25a-25a0-eeca1e49684f/mzaf_11526989813572543213.plus.aac.p.m4a,2004-01-01T12:00:00Z,232800.0,232.8,Country,Darryl Worley,1443592008.0,3444891.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Awful, Beautiful Life""",Darryl Worley,1443592008.0,preview_clips/darryl_worley__awful_beautiful_life__1443592008.0.m4a,already_exists
5,"""Bitch, Don't Kill My Vibe""",Kendrick Lamar,bitch dont kill my vibe kendrick lamar,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,"good kid, m.A.A.d city",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/c2/45/71/c245716f-4f3a-f893-5347-bc3890a14dcf/mzaf_6065836702607773520.plus.aac.p.m4a,2012-10-22T12:00:00Z,310725.0,310.725,Hip-Hop/Rap,"good kid, m.A.A.d city",1471277625.0,368183298.0,0.9861702127659576,0.9787234042553192,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Bitch, Don't Kill My Vibe""",Kendrick Lamar,1471277625.0,preview_clips/kendrick_lamar__bitch_don_t_kill_my_vibe__1471277625.0.m4a,already_exists
6,"""Boy's A Liar, Pt. 2""",PinkPantheress & Ice Spice,boys a liar pt 2 pinkpantheress,Boy's a liar Pt. 2 (Mixed),PinkPantheress & Ice Spice,Fool's Gold Radio: Miles Medina (DJ Mix),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/a1/e5/d5/a1e5d595-f4ac-06b1-fa9e-18c798d481ea/mzaf_16573954398271143085.plus.aac.p.m4a,2023-03-10T12:00:00Z,129675.0,129.675,Hip-Hop/Rap,Fool's Gold Radio: Miles Medina (DJ Mix),1674065037.0,1552521489.0,0.9210526315789476,1.0,0.7368421052631579,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Boy's A Liar, Pt. 2""",PinkPantheress & Ice Spice,1674065037.0,preview_clips/pinkpantheress_ice_spice__boy_s_a_liar_pt_2__1674065037.0.m4a,already_exists
7,"""Break Up With Your Girlfriend, I'm Bored""",Ariana Grande,break up with your girlfriend im bored ariana grande,"break up with your girlfriend, i'm bored",Ariana Grande,"thank u, next",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/dd/f8/a9/ddf8a959-42af-53c8-5dfa-4ff4844652fd/mzaf_13002311379380859940.plus.aac.p.m4a,2019-02-08T12:00:00Z,190408.0,190.408,Pop,"thank u, next",1450334170.0,412778295.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Break Up With Your Girlfriend, I'm Bored""",Ariana Grande,1450334170.0,preview_clips/ariana_grande__break_up_with_your_girlfriend_i_m_bored__1450334170.0.m4a,already_exists
8,"""Bzrp Music Sessions, Vol. 53""",Bizarrap & Shakira,bzrp music sessions vol 53 bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,Las Mujeres Ya No Lloran,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/0a/e1/0e/0ae10eda-19d6-9acb-2dd4-3a8f87c076c9/mzaf_11017736900654766444.plus.aac.p.m4a,2023-01-11T08:00:00Z,217133.0,217.133,Pop Latino,Las Mujeres Ya No Lloran,1731060236.0,1239658213.0,0.8133333333333334,0.8666666666666667,0.6666666666666666,0.0,LOW_CONFIDENCE,SUCCESS,1.0,False,True,title_artist_formatting_recovery,"""Bzrp Music Sessions, Vol. 53""",Bizarrap & Shakira,1731060236.0,preview_clips/bizarrap_shakira__bzrp_music_sessions_vol_53__1731060236.0.m4a,already_exists
9,"""Courtesy Of The Red, White And Blue (The Angry American)""",Toby Keith,courtesy of the red white and blue toby keith,"Courtesy of the Red, White and Blue (The Angry American)",Toby Keith,35 Biggest Hits,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/85/f3/6c/85f36cd4-299b-8b12-1002-30e109658c3c/mzaf_1495583741702253008.plus.aac.p.m4a,2002-05-27T12:00:00Z,195040.0,195.04,Country,35 Biggest Hits,1452802587.0,258069.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Courtesy Of The Red, White And Blue (The Angry American)""",Toby Keith,1452802587.0,preview_clips/toby_keith__courtesy_of_the_red_white_and_blue_the_angry_american__1452802587.0.m4a,already_exists
10,"""Dance, Dance""",Fall Out Boy,dance dance fall out boy,"Dance, Dance",Fall Out Boy,From Under the Cork Tree,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/52/ee/3c/52ee3c0c-a640-8721-73d7-eb0573dcebaa/mzaf_9711919601541394109.plus.aac.p.m4a,2005-05-03T07:00:00Z,180267.0,180.267,Alternative,From Under the Cork Tree,1440749367.0,28673423.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Dance, Dance""",Fall Out Boy,1440749367.0,preview_clips/fall_out_boy__dance_dance__1440749367.0.m4a,already_exists
11,"""Darling, I""","""Tyler, The Creator Featuring Teezo Touchdown""",darling i tyler,"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator",CHROMAKOPIA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/6b/31/85/6b3185a4-fbc0-4d23-a05b-4e32045106c6/mzaf_13533721942779610601.plus.aac.p.m4a,2024-10-28T07:00:00Z,253834.0,253.834,Hip-Hop/Rap,CHROMAKOPIA,1789446426.0,420368335.0,0.8363636363636364,1.0,0.4545454545454545,0.0,LOW_CONFIDENCE,SUCCESS,1.0,True,True,,"""Darling, I""","""Tyler, The Creator Featuring Teezo Touchdown""",1789446426.0,preview_clips/tyler_the_creator_featuring_teezo_touchdown__darling_i__1789446426.0.m4a,already_exists
12,"""Father Stretch My Hands, Pt. 1""",Kanye West,father stretch my hands pt 1 kanye west,"Father Stretch My Hands, Pt. 1",Kanye West,The Life of Pablo,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5b/17/95/5b179505-5107-6e12-6064-fa0ae506ca6e/mzaf_15640701738569860552.plus.aac.p.m4a,2016-02-14T12:00:00Z,135933.0,135.933,Hip-Hop/Rap,The Life of Pablo,1442966474.0,2715720.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Father Stretch My Hands, Pt. 1""",Kanye West,1442966474.0,preview_clips/kanye_west__father_stretch_my_hands_pt_1__1442966474.0.m4a,already_exists
13,"""Going, Going, Gone""",Luke Combs,going going gone luke combs,"Going, Going, Gone",Luke Combs,Growin' Up,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/dd/76/a2/dd76a2f1-63ff-86b5-7f94-0d80945e07b8/mzaf_12740170998670168895.plus.aac.p.m4a,2022-06-24T12:00:00Z,177244.0,177.244,Country,Growin' Up,1619409103.0,815635315.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Going, Going, Gone""",Luke Combs,1619409103.0,preview_clips/luke_combs__going_going_gone__1619409103.0.m4a,already_exists
14,"""Gone, Gone, Gone""",Phillip Phillips,gone gone gone phillip phillips,"Gone, Gone, Gone",Phillip Phillips,The World from the Side of the Moon,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/db/c6/d9/dbc6d9bb-5340-6ef8-9f71-e2ea2a003809/mzaf_2461185734613420079.plus.aac.p.m4a,2012-11-19T12:00:00Z,209695.0,209.695,Pop,The World from the Side of the Moon,1443181870.0,199170038.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Gone, Gone, Gone""",Phillip Phillips,1443181870.0,preview_clips/phillip_phillips__gone_gone_gone__1443181870.0.m4a,already_exists
15,"""Good Luck, Babe!""",Chappell Roan,good luck babe chappell roan,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe! - Single",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/c3/6d/4f/c36d4f23-b87f-046d-7a0e-e3e05d180b2a/mzaf_17235999651335214399.plus.aac.p.m4a,2024-04-05T12:00:00Z,218424.0,218.424,Pop,"Good Luck, Babe! - Single",1737497080.0,1264818718.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Good Luck, Babe!""",Chappell Roan,1737497080.0,preview_clips/chappell_roan__good_luck_babe__1737497080.0.m4a,already_exists
16,"""Hey Look Ma, I Made It""",Panic! At The Disco,hey look ma i made it panic at the disco,"Hey Look Ma, I Made It",Panic! At the Disco,Pray for the Wicked,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/19/30/d5/1930d5b1-c0c3-45ea-75a3-af151da6727f/mzaf_2535584644570040515.plus.aac.p.m4a,2018-06-22T12:00:00Z,169667.0,169.667,Alternative,Pray for the Wicked,1361152140.0,80456331.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Hey Look Ma, I Made It""",Panic! At The Disco,1361152140.0,preview_clips/panic_at_the_disco__hey_look_ma_i_made_it__1361152140.0.m4a,already_exists
17,"""Hey, Soul Sister""",Glee Cast,hey soul sister glee cast,"Hey, Soul Sister (feat. Darren Criss)",Glee Cast,Glee: The Music presents The Warblers,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a7/ee/e5/a7eee5c1-0654-e257-560e-06cdfb7b0f4e/mzaf_11810883977435884595.plus.aac.p.m4a,2011-04-19T07:00:00Z,220547.0,220.547,Pop,Glee: The Music presents The Warblers,434383244.0,315816847.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Hey, Soul Sister""",Glee Cast,434383244.0,preview_clips/glee_cast__hey_soul_sister__434383244.0.m4a,already_exists
18,"""Hey, Soul Sister""",Train,hey soul sister train,"Hey, Soul Sister",Train,"Save Me, San Francisco (Golden Gate Edition)",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/22/b2/3b/22b23b2d-db40-0fa1-b714-140aff15ecbe/mzaf_699506205855316636.plus.aac.p.m4a,2009-08-11T07:00:00Z,216773.0,216.773,Pop,"Save Me, San Francisco (Golden Gate Edition)",425320500.0,469476.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Hey, Soul Sister""",Train,425320500.0,preview_clips/train__hey_soul_sister__425320500.0.m4a,already_exists
19,"""Hold On, We're Going Home""",Drake Featuring Majid Jordan,hold on were going home drake,"Hold On, We're Going Home (feat. Majid Jordan)",Drake,Nothing Was the Same (Deluxe),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/e1/9b/b6/e19bb624-9cd8-021b-f771-e51629057774/mzaf_13878644440815306616.plus.aac.p.m4a,2013-08-07T07:00:00Z,231193.0,231.193,Hip-Hop/Rap,Nothing Was the Same (Deluxe),1440829630.0,271256.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Hold On, We're Going Home""",Drake Featuring Majid Jordan,1440829630.0,preview_clips/drake_featuring_majid_jordan__hold_on_we_re_going_home__1440829630.0.m4a,already_exists
20,"""Honey, I'm Good.""",Andy Grammer,honey im good andy grammer,"Honey, I'm Good",Andy Grammer,Magazines Or Novels,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e0/00/c8/e000c839-26d7-aaa6-8a75-1c84e04ffefe/mzaf_13168479489819634468.plus.aac.p.m4a,2014-08-05T12:00:00Z,199263.0,199.263,Pop,Magazines Or Novels,1780516397.0,395772279.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Honey, I'm Good.""",Andy Grammer,1780516397.0,preview_clips/andy_grammer__honey_i_m_good__1780516397.0.m4a,already_exists
21,"""Huntin', Fishin' And Lovin' Every Day""",Luke Bryan,huntin fishin and lovin every day luke bryan,"Huntin', Fishin' and Lovin' Every Day",Luke Bryan,Kill the Lights (Deluxe),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/9b/45/33/9b4533b5-364e-b2d6-0c15-1e63702ecba9/mzaf_17874733992836080033.plus.aac.p.m4a,2015-08-07T12:00:00Z,278729.0,278.729,Country,Kill the Lights (Deluxe),1440869441.0,20131064.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Huntin', Fishin' And Lovin' Every Day""",Luke Bryan,1440869441.0,preview_clips/luke_bryan__huntin_fishin_and_lovin_every_day__1440869441.0.m4a,already_exists
22,"""I Love You, I'm Sorry""",Gracie Abrams,i love you im sorry gracie abrams,"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b0/dd/7b/b0dd7b82-a04f-97f2-13ca-340b71dfb488/mzaf_17168728024459220612.plus.aac.p.m4a,2024-06-20T12:00:00Z,157139.0,157.139,Pop,The Secret of Us,1770861177.0,1450554836.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""I Love You, I'm Sorry""",Gracie Abrams,1770861177.0,preview_clips/gracie_abrams__i_love_you_i_m_sorry__1770861177.0.m4a,already_exists
23,"""Jealousy, Jealousy""",Olivia Rodrigo,jealousy jealousy olivia rodrigo,"jealousy, jealousy",Olivia Rodrigo,SOUR,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/d9/22/93/d9229364-1e24-8c63-7e3e-6165a18656d5/mzaf_6536834655944482143.plus.aac.p.m4a,2021-05-21T12:00:00Z,173171.0,173.171,Pop,SOUR,1560735861.0,979458609.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Jealousy, Jealousy""",Olivia Rodrigo,1560735861.0,preview_clips/olivia_rodrigo__jealousy_jealousy__1560735861.0.m4a,already_exists
24,"""Jesus, Take The Wheel""",Carrie Underwood,jesus take the wheel carrie underwood,"Jesus, Take the Wheel",Carrie Underwood,Some Hearts,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/d0/77/ce/d077ce49-b1fe-45f0-f256-14a2f7315ddb/mzaf_3720450029775279610.plus.aac.p.m4a,2005-10-03T07:00:00Z,226492.0,226.492,Pop,Some Hearts,214695747.0,63399334.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Jesus, Take The Wheel""",Carrie Underwood,214695747.0,preview_clips/carrie_underwood__jesus_take_the_wheel__214695747.0.m4a,already_exists
25,"""John Cougar, John Deere, John 3:16""",Keith Urban,john cougar john deere john 3 16 keith urban,"John Cougar, John Deere, John 3:16",Keith Urban,Ripcord,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/b4/c9/99/b4c9993d-b689-6c48-4cf9-5a9d53bfae81/mzaf_9537596828628349650.plus.aac.p.m4a,2015-05-06T12:00:00Z,221606.0,221.606,Country,Ripcord,1440846072.0,549836.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""John Cougar, John Deere, John 3:16""",Keith Urban,1440846072.0,preview_clips/keith_urban__john_cougar_john_deere_john_3_16__1440846072.0.m4a,already_exists
26,"""Lean Wit It, Rock Wit It""",Dem Franchize Boyz Featuring Lil Peanut & Charlay,lean wit it rock wit it dem franchize boyz,"Lean Wit It, Rock Wit It (feat. Peanut & Charlay)",Dem Franchize Boyz,On Top of Our Game,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/64/54/76/64547680-4e1f-b6c1-3ac8-0551261a0028/mzaf_6520862361716540242.plus.aac.p.m4a,2006-01-01T12:00:00Z,228267.0,228.267,Pop,On Top of Our Game,723734713.0,17994486.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Lean Wit It, Rock Wit It""",Dem Franchize Boyz Featuring Lil Peanut & Charlay,723734713.0,preview_clips/dem_franchize_boyz_featuring_lil_peanut_charlay__lean_wit_it_rock_wit_it__723734713.0.m4a,already_exists
27,"""Love You, Miss You, Mean It""",Luke Bryan,love you miss you mean it luke bryan,"Love You, Miss You, Mean It",Luke Bryan,"Love You, Miss You, Mean It - Single",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/ac/a4/8e/aca48e40-bdf4-7009-66c8-9cb514a160f9/mzaf_1420636248808805995.plus.aac.p.m4a,2024-04-05T12:00:00Z,201807.0,201.807,Country,"Love You, Miss You, Mean It - Single",1737278881.0,20131064.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Love You, Miss You, Mean It""",Luke Bryan,1737278881.0,preview_clips/luke_bryan__love_you_miss_you_mean_it__1737278881.0.m4a,already_exists
28,"""Lover, Lover""",Jerrod Niemann,lover lover jerrod niemann,"Lover, Lover",Jerrod Niemann,Judge Jerrod & the Hung Jury,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/c8/f2/d3/c8f2d3a4-0ae2-25f5-2410-58f0a5303bfe/mzaf_3387866801933483072.plus.aac.p.m4a,2010-03-01T08:00:00Z,193733.0,193.733,Country,Judge Jerrod & the Hung Jury,380055491.0,212850933.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Lover, Lover""",Jerrod Niemann,380055491.0,preview_clips/jerrod_niemann__lover_lover__380055491.0.m4a,already_exists
29,"""Mary, Did You Know?""",Pentatonix,mary did you know pentatonix,"Mary, Did You Know?",Pentatonix,That's Christmas To Me (Deluxe Edition),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/bc/50/88/bc5088e6-da47-4161-8088-86056eb30d24/mzaf_13561273978234918118.plus.aac.p.m4a,2014-10-21T07:00:00Z,203018.0,203.018,Christmas: Pop,That's Christmas To Me (Deluxe Edition),1049043307.0,466047278.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Mary, Did You Know?""",Pentatonix,1049043307.0,preview_clips/pentatonix__mary_did_you_know__1049043307.0.m4a,already_exists
30,"""No Body, No Crime""",Taylor Swift Featuring Haim,no body no crime taylor swift,"no body, no crime (feat. HAIM)",Taylor Swift,evermore,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b8/61/cb/b861cb31-48eb-04d1-93c0-0d1209a734ea/mzaf_206661796010024085.plus.aac.p.m4a,2020-12-11T12:00:00Z,215627.0,215.627,Alternative,evermore,1544268348.0,159260351.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""No Body, No Crime""",Taylor Swift Featuring Haim,1544268348.0,preview_clips/taylor_swift_featuring_haim__no_body_no_crime__1544268348.0.m4a,already_exists
31,"""Pop, Lock & Drop It""",Huey,pop lock drop it huey,"Pop, Lock & Drop It (Video Edit)",Huey,Notebook Paper,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d3/5b/ed/d35bedf3-6759-ab46-c94f-da1478489243/mzaf_15115738908299813813.plus.aac.p.m4a,2006-01-01T12:00:00Z,261027.0,261.027,Hip-Hop/Rap,Notebook Paper,256901963.0,193468969.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Pop, Lock & Drop It""",Huey,256901963.0,preview_clips/huey__pop_lock_drop_it__256901963.0.m4a,already_exists
32,"""Ready, Set, Don't Go""",Billy Ray Cyrus With Miley Cyrus,ready set dont go billy ray cyrus with miley cyrus,"Ready, Set, Don't Go (feat. Miley Cyrus)",Billy Ray Cyrus,Home At Last,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/34/dc/d7/34dcd77b-3077-9a66-2a45-b16720ad46aa/mzaf_10399124250716548149.plus.aac.p.m4a,2007-01-01T12:00:00Z,228453.0,228.453,Country,Home At Last,1443499196.0,411913.0,0.8914893617021278,1.0,0.6382978723404256,0.0,REVIEW,SUCCESS,1.0,True,True,,"""Ready, Set, Don't Go""",Billy Ray Cyrus With Miley Cyrus,1443499196.0,preview_clips/billy_ray_cyrus_with_miley_cyrus__ready_set_don_t_go__1443499196.0.m4a,already_exists
33,"""Ready, Steady, Go!""",Harry Styles,ready steady go harry styles,"Ready, Steady, Go!",Harry Styles,"Kiss All The Time. Disco, Occasionally.",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/7f/5e/d4/7f5ed413-955a-4542-5720-3b1e220046be/mzaf_8161415601894480566.plus.aac.p.m4a,2026-03-06T12:00:00Z,160400.0,160.4,Pop,"Kiss All The Time. Disco, Occasionally.",1870984038.0,471260289.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Ready, Steady, Go!""",Harry Styles,1870984038.0,preview_clips/harry_styles__ready_steady_go__1870984038.0.m4a,already_exists
34,"""Santa, Can't You Hear Me""",Kelly Clarkson & Ariana Grande,santa cant you hear me kelly clarkson,"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande,When Christmas Comes Around...,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/39/e6/c5/39e6c510-4719-9052-dc7c-8c8b4b9db16b/mzaf_8804767780901384610.plus.aac.p.m4a,2021-10-15T12:00:00Z,242645.0,242.645,Holiday,When Christmas Comes Around...,1586039529.0,316265.0,0.9,1.0,0.6666666666666666,0.0,REVIEW,SUCCESS,1.0,True,True,,"""Santa, Can't You Hear Me""",Kelly Clarkson & Ariana Grande,1586039529.0,preview_clips/kelly_clarkson_ariana_grande__santa_can_t_you_hear_me__1586039529.0.m4a,already_exists
35,"""She's Mine, Pt. 1""",J. Cole,shes mine pt 1 j cole,"She's Mine, Pt. 1",J. Cole,4 Your Eyez Only,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f3/88/85/f38885b3-4407-490a-aa50-4f453cc71564/mzaf_9660692694215617499.plus.aac.p.m4a,2016-12-09T12:00:00Z,209081.0,209.081,Hip-Hop/Rap,4 Your Eyez Only,1440924585.0,73705833.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""She's Mine, Pt. 1""",J. Cole,1440924585.0,preview_clips/j_cole__she_s_mine_pt_1__1440924585.0.m4a,already_exists
36,"""Sit Still, Look Pretty""",Daya,sit still look pretty daya,"Sit Still, Look Pretty",Daya,"Sit Still, Look Pretty",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/80/4a/bf/804abfb0-0cfc-558a-44bc-4cabb268b12d/mzaf_3372266658576391988.plus.aac.p.m4a,2015-09-04T12:00:00Z,207761.0,207.761,Pop,"Sit Still, Look Pretty",1749268241.0,1037160430.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Sit Still, Look Pretty""",Daya,1749268241.0,preview_clips/daya__sit_still_look_pretty__1749268241.0.m4a,already_exists
37,"""Skoal, Chevy, And Browning""",Morgan Wallen,skoal chevy and browning morgan wallen,"Skoal, Chevy, and Browning",Morgan Wallen,I’m The Problem,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/c6/a0/61/c6a06112-e6af-e8e1-abff-eb2f0c5bd391/mzaf_13058126710638614317.plus.aac.p.m4a,2025-05-16T12:00:00Z,222479.0,222.479,Country,I’m The Problem,1802103918.0,829142092.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""Skoal, Chevy, And Browning""",Morgan Wallen,1802103918.0,preview_clips/morgan_wallen__skoal_chevy_and_browning__1802103918.0.m4a,already_exists
38,"""So Long, London""",Taylor Swift,so long london taylor swift,"So Long, London",Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/9e/69/df/9e69df5e-6e82-a5e1-d9b1-5a68e4cfd40d/mzaf_3074834546400386292.plus.aac.p.m4a,2024-04-19T12:00:00Z,262975.0,262.975,Pop,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,1742058083.0,159260351.0,1.0,1.0,1.0,0.0,AUTO_ACCEPT,SUCCESS,1.0,True,True,,"""So Long, London""",Taylor Swift,1742058083.0,preview_clips/taylor_swift__so_long_london__1742058083.0.m4a,already_exists
