Song,Artist,first_chart_date,last_chart_date,entry_rank,peak_rank,total_weeks,top10_weeks,top40_weeks,avg_rank,peak_date,lifespan_weeks,time_to_peak,entry_year,weeks_since_last_chart,potentially_incomplete,apple_release_date,apple_duration_sec,apple_genre,days_release_to_chart,days_release_to_peak,tempo_bpm,tempo_bpm_raw,tempo_bpm_adjusted,tempo_adjustment_reason,rms_loudness,valence,arousal,spectral_centroid_mean,spectral_rolloff_mean,mode,key_strength,genre_1,genre_1_score,genre_2,genre_2_score,genre_3,genre_3_score,genre_4,genre_4_score,genre_5,genre_5_score,genre_family_blues,genre_family_classical,genre_family_electronic,genre_family_folk_world_and_country,genre_family_funk_soul,genre_family_hip_hop,genre_family_jazz,genre_family_latin,genre_family_pop,genre_family_reggae,genre_family_rock,audio_feature_error
"""1 Step Forward, 3 Steps Back""",Olivia Rodrigo,2021-06-02,2021-06-23,19,19,4,0,2,54.25,2021-06-02,4,0.0,2021,256.0,False,2021-05-21 12:00:00,163.593,Pop,11.0,11.0,172.265625,172.265625,86.1328125,halved_145_180_likely_double_time,0.1851660758256912,4.4646315574646,4.418777942657471,1722.5360169307369,776.5786374685565,major,0.8827824592590332,Pop---Ballad,0.1436557173728943,"Folk, World, & Country---Fado",0.1068629547953605,Pop---K-pop,0.1039163172245025,Electronic---Tropical House,0.0768783688545227,Funk / Soul---Neo Soul,0.0614642426371574,0.010975843802953,0.0110892162119853,0.5115856652500952,0.2158633907260991,0.1556696559928241,0.0429446414179892,0.1001633136474993,0.0522409636396332,0.448652009916259,0.005238184290647,0.1522798811151915,
"""1, 2 Step""",Ciara Featuring Missy Elliott,2005-01-05,2005-07-20,2,2,39,12,24,19.448275862068964,2005-01-05,39,0.0,2005,1087.0,False,2023-03-10 12:00:00,84.901,Hip-Hop/Rap,-6639.0,-6639.0,116.17340087890624,116.17340087890624,116.17340087890624,unchanged,0.2744864523410797,7.023382186889648,5.322175025939941,3324.4889456342357,2381.0047238372094,major,0.5088671445846558,Hip Hop---Trap,0.2558179199695587,Electronic---House,0.0804863944649696,Hip Hop---Cloud Rap,0.0742797702550888,Funk / Soul---Contemporary R&B,0.0666122362017631,Electronic---Bassline,0.0657594799995422,0.0002830643564379,1.678109285663254e-05,0.8112890149768646,0.0016374960343306,0.1239321051252773,0.4976354324694512,0.0007350929699612,0.0108245355109577,0.0708662881036161,0.0031684507894169,0.0078990155838454,
"""1, 2, 3, 4""",Plain White T's,2009-02-04,2009-06-17,91,34,20,0,5,47.8,2009-05-20,20,15.0,2009,883.0,False,2008-09-23 12:00:00,198.36,Rock,133.0,238.0,89.63284301757812,89.63284301757812,89.63284301757812,unchanged,0.2608727812767029,5.436964988708496,5.027246952056885,2826.1444637900904,1084.210110596459,major,0.9366236925125122,Rock---Pop Rock,0.1689557582139969,Rock---Alternative Rock,0.141305536031723,Rock---Acoustic,0.1393297165632248,Rock---Neofolk,0.0993709713220596,Rock---Indie Rock,0.0791819393634796,0.0535468151574605,0.001670860269769,0.0933820615877039,0.1110460716522538,0.003454331790067,0.0291338800673202,0.0052650258578523,0.0101159418546785,0.08351623892122,0.0236369697668124,1.1994829671690468,
"""10,000 Hours""",Dan + Shay & Justin Bieber,2019-10-16,2020-05-06,4,4,30,14,28,15.933333333333334,2019-10-16,30,0.0,2019,315.0,False,2019-10-04 07:00:00,167.773,Country,11.0,11.0,178.205810546875,178.205810546875,178.205810546875,kept_high_bpm_strong_electronic_or_rock,0.247301235795021,4.820089340209961,5.673097133636475,3112.8637020613796,1233.4686137354652,major,0.9379037022590636,Electronic---Disco Polo,0.3705374896526336,Pop---Europop,0.2030443698167801,Electronic---Eurodance,0.1353542059659958,Pop---Bubblegum,0.1150587722659111,Pop---Ballad,0.1077857762575149,0.0045024134701634,0.0021005663784308,0.8508116704310851,0.0767126356527114,0.2141320915870892,0.1678482672646168,0.0071652904707661,0.0812505159547072,0.6753853580048599,0.0167507415098953,0.1400708102431735,
"""Awful, Beautiful Life""",Darryl Worley,2005-01-05,2005-03-23,49,30,20,0,2,63.583333333333336,2005-01-19,20,2.0,2005,1104.0,False,2004-01-01 12:00:00,232.8,Country,369.0,383.0,112.45127868652344,112.45127868652344,112.45127868652344,unchanged,0.2487614154815673,6.257137298583984,5.357296466827393,2545.897490839995,1314.309933684593,major,0.941523015499115,"Folk, World, & Country---Country",0.4863526821136474,Rock---Country Rock,0.3699142336845398,Pop---Schlager,0.1936724931001663,"Folk, World, & Country---Honky Tonk",0.1927755922079086,"Folk, World, & Country---Volksmusik",0.1411667168140411,0.0819064273910044,0.0006750018927732,0.0101233732498741,1.104486714536904,0.0117468969758078,0.0011109765480861,0.0017281084004707,0.0007265952191221,0.2288289305265607,0.0009087275631145,0.7231533477498715,
"""Bitch, Don't Kill My Vibe""",Kendrick Lamar,2013-01-23,2013-07-24,100,32,21,0,5,60.57142857142857,2013-05-29,21,18.0,2013,669.0,False,2012-10-22 12:00:00,310.725,Hip-Hop/Rap,92.0,218.0,134.04029846191406,134.04029846191406,134.04029846191406,unchanged,0.2419973760843277,4.764955043792725,5.098392009735107,3428.088212524036,1733.5228509578174,minor,0.6405454277992249,Hip Hop---Grime,0.4187261760234833,Hip Hop---Trap,0.2981710433959961,Hip Hop---Hardcore Hip-Hop,0.1929977238178253,Hip Hop---Crunk,0.1841342896223068,Hip Hop---Gangsta,0.1720883101224899,0.0001180236541378,8.743424672275069e-06,0.1844451124749013,0.0010661438710721,0.0131150897708494,1.8415314999620025,0.0002654908162327,0.0040715625044791,0.006537797319396,0.0013010009349727,0.0093476564462715,
"""Boy's A Liar, Pt. 2""",PinkPantheress & Ice Spice,2023-02-15,2023-07-12,14,3,22,12,20,14.772727272727272,2023-03-01,22,2.0,2023,149.0,False,2023-03-10 12:00:00,129.675,Hip-Hop/Rap,-24.0,-10.0,133.11013793945312,133.11013793945312,133.11013793945312,unchanged,0.3337685763835907,5.9897141456604,5.882678985595703,2166.7756938017615,784.0255950218024,major,0.88822340965271,Electronic---House,0.2907502949237823,Electronic---Bleep,0.2737292051315307,Electronic---Techno,0.252173900604248,Electronic---UK Garage,0.1248980462551117,Hip Hop---Grime,0.1040518134832382,0.0005312463222253,0.0002187718349659,1.685066286818255,0.0070909787123127,0.0296582267255871,0.3551489226229023,0.0024508425199201,0.0168942325825582,0.0632415329637297,0.018584916688269,0.0196868767224032,
"""Break Up With Your Girlfriend, I'm Bored""",Ariana Grande,2019-02-20,2019-07-03,2,2,20,2,18,19.85,2019-02-20,20,0.0,2019,359.0,False,2019-02-08 12:00:00,190.408,Pop,11.0,11.0,84.8890380859375,84.8890380859375,84.8890380859375,unchanged,0.3274330496788025,5.133042335510254,4.923632621765137,3362.750299506881,1035.9604023558436,minor,0.8841408491134644,Hip Hop---Trap,0.4286744296550751,Latin---Reggaeton,0.2929149270057678,Hip Hop---Cloud Rap,0.0497809685766696,Funk / Soul---Contemporary R&B,0.0483614057302475,Pop---Vocal,0.0394879877567291,0.0002488904702246,3.3731901236677686e-05,0.1069571897601697,0.0010842692483814,0.0658460234008089,0.5828483712714387,0.000397898434457,0.2940795939800051,0.1021978115593356,0.0039934590338361,0.005925913884206,
"""Bzrp Music Sessions, Vol. 53""",Bizarrap & Shakira,2023-01-25,2023-05-10,9,9,15,1,6,51.4,2023-01-25,15,0.0,2023,158.0,False,2023-01-11 08:00:00,217.133,Pop Latino,13.0,13.0,122.20079803466795,122.20079803466795,122.20079803466795,unchanged,0.3178609013557434,6.135492324829102,6.549720764160156,2581.935252139443,939.5109855722716,minor,0.8397694230079651,Pop---K-pop,0.2765496671199798,Electronic---Synth-pop,0.2064572870731353,Electronic---Dance-pop,0.1547732353210449,Electronic---House,0.0973869785666465,Pop---Bubblegum,0.0712813585996627,0.0004129243239958,0.0007553437462775,1.2475681716005056,0.0106555523518636,0.0253057191293919,0.0796939733445469,0.0032730034110954,0.0156780613554019,0.5276817325284355,0.0123519636945275,0.0458819715975096,
"""Bzrp Music Sessions, Vol. 55""",Bizarrap & Peso Pluma,2023-06-14,2023-08-16,31,31,10,0,2,64.8,2023-06-14,10,0.0,2023,144.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Courtesy Of The Red, White And Blue (The Angry American)""",Toby Keith,2025-07-16,2025-07-16,31,31,21,0,1,31.0,2025-07-16,21,0.0,2025,44.0,False,2002-05-27 12:00:00,195.04,Country,8450.0,8450.0,113.13065338134766,113.13065338134766,113.13065338134766,unchanged,0.3051501810550689,6.591823577880859,4.4437174797058105,2338.432242945621,1729.5728748427823,major,0.8670729994773865,Rock---Southern Rock,0.232420802116394,"Folk, World, & Country---Country",0.184916079044342,Rock---Pop Rock,0.1359835863113403,Blues---Modern Electric Blues,0.1253296732902526,Rock---Blues Rock,0.0980409681797027,0.1909516080195317,0.0075978016761837,0.0093977271130825,0.3362077225028343,0.0174768494276094,0.0028196426918611,0.0083749920579521,0.0007012426361789,0.1178098766140465,0.0016343075899385,1.219591797245812,
"""Dance, Dance""",Fall Out Boy,2005-11-02,2006-05-31,66,9,31,1,26,25.322580645161292,2006-01-11,31,10.0,2005,1042.0,False,2005-05-03 07:00:00,180.267,Alternative,182.0,252.0,114.43939208984376,114.43939208984376,114.43939208984376,unchanged,0.3314485549926758,7.342772006988525,5.2860002517700195,3066.929250664017,1897.5718589759097,minor,0.8121721744537354,Rock---Punk,0.3720834851264953,Rock---Alternative Rock,0.2004734128713607,Rock---Pop Punk,0.1861975789070129,Rock---Hard Rock,0.1105291917920112,Rock---Gothic Metal,0.1072921529412269,0.0020486626594902,0.0026861570910625,0.0235707853527955,0.0317249590116688,0.0006473021276196,0.004545243321445,0.0024751083910246,0.0017807229549049,0.0102082852080229,0.0047263109754567,2.0133440042322945,
"""Darling, I""","""Tyler, The Creator Featuring Teezo Touchdown""",2024-11-06,2024-12-04,15,15,5,0,2,43.8,2024-11-06,5,0.0,2024,76.0,False,2024-10-28 07:00:00,253.834,Hip-Hop/Rap,8.0,8.0,97.79985809326172,97.79985809326172,97.79985809326172,unchanged,0.4139149487018585,5.373915672302246,4.558577060699463,3028.887826264089,1156.5596731085527,major,0.8724842071533203,Hip Hop---RnB/Swing,0.2013147473335266,Funk / Soul---Contemporary R&B,0.1752718091011047,Pop---K-pop,0.1335941553115844,Hip Hop---Conscious,0.0792679339647293,Hip Hop---Grime,0.0763963162899017,0.0006478432012073,2.3282798608192937e-05,0.1918158355734647,0.0025910501129686,0.3668698379624402,0.8010020615256508,0.003475536133294,0.0068854925768375,0.2011047965988837,0.007975832273587,0.0181599530986815,
"""Dum, Dumb, And Dumber""","""Lil Baby, Young Thug & Future""",2025-01-15,2025-02-05,16,16,4,0,1,55.75,2025-01-15,4,0.0,2025,67.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Father Stretch My Hands, Pt. 1""",Kanye West,2016-04-20,2016-10-26,37,37,23,0,1,75.3913043478261,2016-04-20,23,0.0,2016,499.0,False,2016-02-14 12:00:00,135.933,Hip-Hop/Rap,65.0,65.0,112.80718994140624,112.80718994140624,112.80718994140624,unchanged,0.3999406397342682,5.062775135040283,5.597220420837402,2101.6733505130737,846.7055777616279,major,0.8801820278167725,Hip Hop---Trap,0.4641643464565277,Hip Hop---Cloud Rap,0.3673574924468994,Hip Hop---Grime,0.0693310126662254,Hip Hop---Pop Rap,0.0620234422385692,Electronic---Hip Hop,0.0508104003965854,0.0019942879299605,5.500881329112417e-05,0.3414830423802186,0.0035666729935996,0.0571687472402118,1.2501347274192085,0.0019006637135134,0.0240251590534654,0.0608448174943987,0.0209525990576366,0.0492191299284741,
"""Going, Going, Gone""",Luke Combs,2022-11-23,2023-04-19,99,23,22,0,12,49.18181818181818,2023-02-15,22,12.0,2022,161.0,False,2022-06-24 12:00:00,177.244,Country,151.0,235.0,161.62013244628906,161.62013244628906,161.62013244628906,kept_high_bpm_strong_electronic_or_rock,0.2647218704223633,5.571478366851807,5.044551849365234,2470.5752090123415,1144.093081825658,major,0.962490737438202,"Folk, World, & Country---Gospel",0.1544191986322403,Rock---Southern Rock,0.1213647648692131,"Folk, World, & Country---Volksmusik",0.1174402311444282,Rock---Pop Rock,0.099806398153305,Rock---Soft Rock,0.0889675840735435,0.0207768551845219,0.0017927601638803,0.0812729526185194,0.4343079130721889,0.0141935706160438,0.0265766245502163,0.0084478295630106,0.0326685916202222,0.1680169773353554,0.0093902781736687,0.9855994753015692,
"""Gone, Gone, Gone""",Phillip Phillips,2013-03-20,2013-10-09,100,24,30,0,14,45.5,2013-09-04,30,24.0,2013,658.0,False,2012-11-19 12:00:00,209.695,Pop,120.0,288.0,117.8577117919922,117.8577117919922,117.8577117919922,unchanged,0.2474093586206436,5.739762783050537,5.494556903839111,2984.8785558647414,999.6772884215364,major,0.9254626631736756,Rock---Alternative Rock,0.2155688405036926,Rock---Pop Rock,0.0915517881512641,Rock---Indie Rock,0.0746386274695396,Rock---Hard Rock,0.0658941343426704,Rock---Folk Rock,0.0597237832844257,0.0586441586492583,0.0109209814190762,0.3604585443308679,0.1612783822638448,0.0324477317899436,0.023639509545319,0.0149807584530208,0.016144146085935,0.1060554090363439,0.0195968465413898,1.4052047417062568,
"""Good Luck, Babe!""",Chappell Roan,2024-04-17,2025-04-16,77,4,52,14,45,23.634615384615383,2024-09-25,52,23.0,2024,57.0,False,2024-04-05 12:00:00,218.424,Pop,11.0,172.0,116.03016662597656,116.03016662597656,116.03016662597656,unchanged,0.2827993333339691,6.492635726928711,6.5097432136535645,3244.3399837245884,1041.077038082914,major,0.9512910842895508,Pop---Indie Pop,0.3333571255207062,Electronic---Synth-pop,0.2178694009780883,Rock---Dream Pop,0.1408997625112533,Rock---Indie Rock,0.1334296762943267,Rock---Ethereal,0.0967240110039711,0.000310159193873,0.0020925254298731,0.6653098788398637,0.0291296733383568,0.0658586579127131,0.0030781938802846,0.0108550422980897,0.027853205580044,0.5041238941194024,0.0085347995591291,0.6814635127217059,
"""Hey Look Ma, I Made It""",Panic! At The Disco,2019-04-24,2019-09-18,96,16,22,0,15,37.54545454545455,2019-07-24,22,13.0,2019,348.0,False,2018-06-22 12:00:00,169.667,Alternative,305.0,396.0,107.65939331054688,107.65939331054688,107.65939331054688,unchanged,0.325727641582489,6.719902515411377,6.046789646148682,3527.6393696629725,2318.141124636628,major,0.8428387641906738,Pop---K-pop,0.5740712881088257,Electronic---Dance-pop,0.1690510511398315,Electronic---Synth-pop,0.0873196944594383,Electronic---Electro,0.0816571041941642,Electronic---Tropical House,0.0804107263684272,0.0040416940755676,0.0014531759416058,0.6842795040161036,0.0195777678547983,0.1401578891382087,0.0617442485508945,0.0061963658608874,0.0167544367709524,0.7407283134307363,0.0158216876297956,0.1394632321002973,
"""Hey, Soul Sister""",Glee Cast,2010-12-15,2010-12-15,29,29,1,0,1,29.0,2010-12-15,1,0.0,2010,805.0,False,2011-04-19 07:00:00,220.547,Pop,-126.0,-126.0,96.96818542480467,96.96818542480467,96.96818542480467,unchanged,0.2727917730808258,5.828978061676025,5.4760026931762695,3123.430830891927,1833.2100517805231,major,0.893498957157135,Rock---Pop Rock,0.1615339666604995,Rock---Alternative Rock,0.1031293123960495,Pop---Vocal,0.0758628398180008,Pop---Ballad,0.0670168697834014,Reggae---Reggae-Pop,0.0552170611917972,0.0054671543020958,0.0004315151929858,0.3585709821873024,0.0660248457206762,0.0658677019164315,0.0947903976684756,0.0283182779003254,0.0624481842842215,0.3715729991963599,0.1410439945757389,0.6644266236526732,
"""Hey, Soul Sister""",Train,2009-10-14,2010-10-20,98,3,54,19,39,24.814814814814813,2010-04-07,54,25.0,2009,813.0,False,2009-08-11 07:00:00,216.773,Pop,63.0,238.0,96.97098541259766,96.97098541259766,96.97098541259766,unchanged,0.2750688791275024,5.727050304412842,6.5885186195373535,3530.212229820228,1644.1900578076625,major,0.8877196311950684,Pop---K-pop,0.1601075828075409,Rock---Pop Rock,0.1321389973163604,Latin---Reggaeton,0.1126109212636947,Rock---Alternative Rock,0.0968648716807365,Pop---Ballad,0.0952126756310463,0.0036547500767483,0.0009634209595219,0.5459148454715432,0.0486291842353239,0.1347394077929493,0.0678150017538428,0.0302897301880875,0.1315371472155106,0.4802547197832609,0.0266261960496194,0.4107740401850606,
"""Hold On, We're Going Home""",Drake Featuring Majid Jordan,2013-08-21,2014-04-02,21,4,33,13,31,17.484848484848484,2013-10-09,33,7.0,2013,633.0,False,2013-08-07 07:00:00,231.193,Hip-Hop/Rap,13.0,62.0,100.00594329833984,100.00594329833984,100.00594329833984,unchanged,0.2565331161022186,5.5807414054870605,6.051763534545898,2406.8152812159337,752.0763308502907,minor,0.8643701076507568,Electronic---Chillwave,0.304733008146286,Electronic---Downtempo,0.2794916927814483,Electronic---Synth-pop,0.2502124905586242,Pop---Indie Pop,0.2226503938436508,Electronic---Tropical House,0.1928662210702896,0.0005575910456343,0.000138615304138,2.088780149673312,0.0063083896099715,0.1331598026372376,0.0648358224835874,0.0015711924633592,0.0182517377203268,0.2687389047982833,0.0064970104986059,0.0800055054628927,
"""Honey, I'm Good.""",Andy Grammer,2015-02-25,2015-10-07,96,9,31,3,24,29.677419354838708,2015-06-17,31,16.0,2015,554.0,False,2014-08-05 12:00:00,199.263,Pop,203.0,315.0,121.9384536743164,121.9384536743164,121.9384536743164,unchanged,0.2614323198795318,6.019594669342041,6.487542629241943,3627.4701547534105,1547.9573063806115,major,0.8539672493934631,Electronic---House,0.3691949546337127,Electronic---Disco,0.109235905110836,Electronic---Deep House,0.1049734205007553,Electronic---Electro,0.1022626236081123,Electronic---Nu-Disco,0.1009806469082832,0.0027948488786933,0.0008479411083044,1.7492013011815288,0.0219665919066756,0.1995906154043041,0.1215187678635629,0.0838758239151502,0.0115748587469965,0.0936137972530559,0.0396737116680014,0.0570610081581435,
"""Huntin', Fishin' And Lovin' Every Day""",Luke Bryan,2016-04-13,2016-08-24,92,37,20,0,1,63.15,2016-06-29,20,11.0,2016,508.0,False,2015-08-07 12:00:00,278.729,Country,249.0,326.0,76.85771942138672,76.85771942138672,76.85771942138672,unchanged,0.2755845487117767,5.248388767242432,5.414600849151611,2019.4128828019184,1021.5938225619196,major,0.8500364422798157,"Folk, World, & Country---Country",0.095090202987194,Rock---Pop Rock,0.0813489630818367,Rock---Southern Rock,0.0768528282642364,"Folk, World, & Country---Éntekhno",0.0747111141681671,"Folk, World, & Country---Folk",0.0733095034956932,0.0773006253875792,0.0054088747947389,0.0430352589796143,0.4621585991953907,0.018568453671719,0.0084359619755787,0.0152722460215954,0.0533628891785156,0.1847858808832825,0.0164427071977115,0.6967049242525718,
"""I Love You, I'm Sorry""",Gracie Abrams,2024-08-14,2025-01-08,83,19,21,0,7,51.523809523809526,2024-10-23,21,10.0,2024,71.0,False,2024-06-20 12:00:00,157.139,Pop,54.0,124.0,115.50094604492188,115.50094604492188,115.50094604492188,unchanged,0.2755504846572876,5.234609127044678,5.209289073944092,2815.033172843626,880.4113429397253,major,0.902132511138916,Pop---K-pop,0.284664511680603,Pop---Ballad,0.2667524814605713,Electronic---Dance-pop,0.0899074226617813,Children's---Nursery Rhymes,0.0611804574728012,Pop---Vocal,0.0578955374658107,0.0033617092230997,0.0046120668021103,0.508410678285145,0.1480452785363013,0.0624119871499715,0.0779090402365909,0.017207431676752,0.0356119875796139,0.8085289934533648,0.0121928437147289,0.2895409353238847,
"""Jealousy, Jealousy""",Olivia Rodrigo,2021-06-02,2021-07-28,24,24,9,0,1,68.11111111111111,2021-06-02,9,0.0,2021,251.0,False,2021-05-21 12:00:00,173.171,Pop,11.0,11.0,163.20562744140625,163.20562744140625,81.60281372070312,halved_145_180_likely_double_time,0.2695530652999878,6.034234523773193,5.774799346923828,2976.6494525401586,1438.4913016398991,major,0.8612743616104126,Pop---K-pop,0.241229310631752,Funk / Soul---Contemporary R&B,0.1345129162073135,Electronic---Dance-pop,0.104254238307476,Funk / Soul---Neo Soul,0.0958924368023872,Pop---Ballad,0.091134212911129,0.004695130566688,0.0023317521954595,0.4886452697958248,0.0251527019117929,0.332205802144017,0.2821928899920749,0.0204814428288955,0.0250354609390797,0.541252095499658,0.0110118432548915,0.1842861290358541,
"""Jesus, Take The Wheel""",Carrie Underwood,2005-11-16,2006-04-26,48,20,24,0,17,33.833333333333336,2006-03-22,24,18.0,2005,1047.0,False,2005-10-03 07:00:00,226.492,Pop,43.0,169.0,152.23403930664062,152.23403930664062,76.11701965332031,halved_145_180_likely_double_time,0.2558656334877014,5.224857330322266,5.1467719078063965,3083.341210946948,1830.7389297721556,major,0.9061222076416016,Pop---Ballad,0.3396547138690948,Latin---Cumbia,0.2411283552646637,Rock---Pop Rock,0.1025266647338867,Pop---Vocal,0.0978093296289444,Latin---Vallenato,0.0847083777189254,0.0110992033660295,0.0052783009523409,0.1117630789252643,0.3274682014425707,0.0723552323870535,0.0232721697326496,0.019064611495196,0.4958957825401739,0.576086186352768,0.0128995752747869,0.3635537596452423,
"""John Cougar, John Deere, John 3:16""",Keith Urban,2015-06-24,2015-11-04,86,40,20,0,1,58.6,2015-10-07,20,15.0,2015,550.0,False,2015-05-06 12:00:00,221.606,Country,48.0,153.0,172.2655487060547,172.2655487060547,86.13277435302734,halved_145_180_likely_double_time,0.260997861623764,5.941770553588867,6.295700550079346,3338.723028555005,933.4276890238004,major,0.9296964406967164,Hip Hop---Pop Rap,0.0987908393144607,Rock---Alternative Rock,0.0971079096198082,Rock---Pop Rock,0.0935126468539238,Hip Hop---RnB/Swing,0.0840215384960174,Electronic---House,0.0783666968345642,0.0066466516618675,0.0013908584221553,0.6088087809650915,0.0726936831856619,0.2199445291189476,0.5291842679143883,0.0248751345479831,0.0762410993299909,0.207820417228504,0.0311118162644561,0.5050040790431467,
"""Lean Wit It, Rock Wit It""",Dem Franchize Boyz Featuring Lil Peanut & Charlay,2006-01-18,2006-07-05,91,7,25,8,20,24.6,2006-03-29,25,10.0,2006,1037.0,False,2006-01-01 12:00:00,228.267,Pop,16.0,86.0,151.9040069580078,151.9040069580078,75.9520034790039,halved_145_180_likely_double_time,0.3050412237644195,5.13254451751709,5.562033176422119,3102.965783478493,1393.2316269985463,major,0.7863190174102783,Hip Hop---Crunk,0.7920271754264832,Hip Hop---Gangsta,0.3054312765598297,Hip Hop---Thug Rap,0.1680566668510437,Hip Hop---Bounce,0.0938922688364982,Hip Hop---Hardcore Hip-Hop,0.062180008739233,0.0038498739968613,1.8567552649173535e-05,0.0258673477295356,0.0005274351114024,0.010473861171647,1.708320451216423,5.633820090622521e-05,0.0071935356183381,0.0010757205012907,0.0087017060213838,0.0010346609322686,
"""Love You, Miss You, Mean It""",Luke Bryan,2024-08-14,2024-10-16,99,39,10,0,1,73.6,2024-10-09,10,8.0,2024,83.0,False,2024-04-05 12:00:00,201.807,Country,130.0,186.0,152.1654815673828,152.1654815673828,152.1654815673828,kept_high_bpm_strong_electronic_or_rock,0.3447826504707336,5.583884239196777,5.395677089691162,2924.7917829578505,1668.8232421875,major,0.9209309220314026,Rock---Pop Rock,0.1760247498750686,Rock---Alternative Rock,0.1479046493768692,Rock---Hard Rock,0.1419198662042617,Rock---Nu Metal,0.0814123675227165,Pop---Ballad,0.0620085969567298,0.0171627452364191,0.0010901437408392,0.0964174666523831,0.121923785844956,0.025076514304601,0.0334654579044126,0.0029049650245269,0.0119084169614325,0.1668114959793456,0.0047033145201567,1.1361904050586134,
"""Lover, Lover""",Jerrod Niemann,2010-05-12,2010-09-22,89,29,20,0,6,53.3,2010-08-04,20,12.0,2010,817.0,False,2010-03-01 08:00:00,193.733,Country,71.0,155.0,112.41619873046876,112.41619873046876,112.41619873046876,unchanged,0.2230610996484756,5.159196376800537,6.233204364776611,2832.7299598871277,1186.0955668604652,major,0.8742268085479736,Rock---Pop Rock,0.1672549098730087,Rock---Alternative Rock,0.1180719062685966,Pop---Novelty,0.1164404228329658,Rock---Blues Rock,0.0818940326571464,Blues---Modern Electric Blues,0.0793327316641807,0.1683383418421726,0.0007035337337129,0.0570578976069953,0.1739555389412999,0.0798434831740451,0.0192838684163234,0.0182854863778629,0.0173141737836886,0.2744525003363378,0.0668900536984438,0.8864318122908799,
"""Mary, Did You Know?""",Pentatonix,2014-12-03,2017-01-04,26,26,7,0,2,48.857142857142854,2014-12-03,7,0.0,2014,489.0,False,2014-10-21 07:00:00,203.018,Christmas: Pop,42.0,42.0,104.86538696289062,104.86538696289062,104.86538696289062,unchanged,0.172300174832344,4.519692897796631,4.791079521179199,2176.5581325377475,852.3115128555534,minor,0.924369215965271,Pop---Ballad,0.1102835163474083,Pop---Vocal,0.1065153181552887,Electronic---Trip Hop,0.1061892807483673,Rock---Alternative Rock,0.0751055926084518,"Folk, World, & Country---Folk",0.0727684199810028,0.0146903841523453,0.0691972499771509,0.5212360728273779,0.2917117424294702,0.1175131852796766,0.0782749786958447,0.0467492551833856,0.0312962689213236,0.3482698544539744,0.0117205459901015,0.6423338396944018,
"""Me, Myself & I""",G-Eazy x Bebe Rexha,2015-11-18,2016-07-27,83,7,37,12,29,29.135135135135137,2016-03-09,37,16.0,2015,512.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""No Body, No Crime""",Taylor Swift Featuring Haim,2020-12-23,2020-12-30,34,34,2,0,1,65.5,2020-12-23,2,0.0,2020,281.0,False,2020-12-11 12:00:00,215.627,Alternative,11.0,11.0,78.95964050292969,78.95964050292969,78.95964050292969,unchanged,0.2747821807861328,5.860282897949219,5.440554141998291,3085.915836298798,871.1113991752128,major,0.8196825981140137,Rock---Alternative Rock,0.1814395636320114,Pop---Ballad,0.1296326667070388,Rock---Pop Rock,0.1062274649739265,Rock---Indie Rock,0.1029488369822502,Pop---K-pop,0.1014857813715934,0.0205322275069193,0.0025767625179469,0.2512034974828339,0.1349605186715052,0.0651499420414438,0.0233193847529946,0.0218939913497706,0.0620520474311661,0.5187876391864847,0.0117788905918132,0.7807651598961911,
"""Pop, Lock & Drop It""",Huey,2007-03-07,2007-08-08,98,6,23,5,17,30.17391304347826,2007-05-30,23,12.0,2007,980.0,False,2006-01-01 12:00:00,261.027,Hip-Hop/Rap,429.0,513.0,143.968017578125,143.968017578125,143.968017578125,unchanged,0.4290371537208557,4.786957740783691,4.843760967254639,3299.3865370639537,1033.3433639171512,minor,0.6745414137840271,Hip Hop---Gangsta,0.3535667657852173,Hip Hop---Crunk,0.3162609040737152,Hip Hop---Horrorcore,0.1381863355636596,Hip Hop---Thug Rap,0.1144921630620956,Hip Hop---Instrumental,0.0575259998440742,3.307317129497278e-05,2.293286213728152e-05,0.1661301944394466,0.0002644375630732,0.0044822895371225,1.4811654256554905,0.0002767370936851,0.0031593820117432,0.0013400735421669,0.0053156190301706,0.003472311847787,
"""Ready, Set, Don't Go""",Billy Ray Cyrus With Miley Cyrus,2007-08-01,2008-03-05,85,37,23,0,4,61.65217391304348,2008-02-13,23,28.0,2007,950.0,False,2007-01-01 12:00:00,228.453,Country,211.0,407.0,153.79757690429688,153.79757690429688,153.79757690429688,kept_high_bpm_strong_electronic_or_rock,0.3004576563835144,6.2361650466918945,5.507511138916016,3711.417742872608,1251.997183866279,major,0.9327451586723328,Rock---Pop Rock,0.2886678576469421,Pop---Ballad,0.2177891582250595,Rock---Alternative Rock,0.1670449376106262,Non-Music---Religious,0.1363613456487655,Pop---Novelty,0.1293865442276001,0.0286427279061172,0.0013429544783321,0.0868850179414835,0.1330869824832916,0.022390816635621,0.024774051781236,0.0110871247279646,0.0742603217843225,0.8363228837115457,0.0119424078366137,1.1405622851834778,
